"Timestamp","Confidentiality and Privacy: We highly value your privacy. All responses you provide will be treated with strict confidentiality and anonymity. The results will only be examined in an aggregated manner. Your personal details will not be disclosed to any third parties, and the gathered data will solely be utilized for research purposes.
Voluntary Participation: Your involvement in this study is entirely optional, and you retain the right to withdraw at any point while the questionnaire is accessible for completion. However, we will appreciate if you take some time to fill it up.
Contact Information: If you have any questions or concerns regarding the study, please don't hesitate to reach out to us at mir.hossain01@northsouth.edu.
By selecting the ""I Agree"" checkbox below, you signify your voluntary consent to participate in this research study.","What is your age?","What is your Gender?","What is your Occupation?","How many hours per day, on average, do you spend on digital devices (smartphones, computers, tablets)?","Which digital device do you use most frequently? ","How often do you check your smartphone within an hour of waking up?","How often do you check your smartphone within an hour of going to bed?","Do you use technology for work or academic purposes?","How often do you use social media platforms?","How many hours per day do you typically spend watching TV or streaming services?","Do you use technology as a means of relaxation or entertainment?","What type of content do you most frequently consume online?","What emotions do you associate with your use of technology?","On a scale from 1 to 5, how would you rate your overall mental well-being currently? ","Over the past two weeks, how often have you experienced symptoms such as sadness, hopelessness, or a lack of interest or pleasure in activities?","How often do you find it difficult to concentrate or make decisions?","How would you describe the quality of your sleep over the past month?","Have you experienced changes in your appetite or weight (loss or gain) recently?","How often do you experience physical symptoms such as headaches, stomachaches, or other unexplained pains?","How would you rate your energy levels and motivation on an average day?","Do you engage in activities that you used to enjoy, or have you lost interest in them?","How often do you feel overwhelmed by stress?","Do you feel a sense of isolation or disconnection from others?","Do you have a support system or someone you feel comfortable talking to about your mental health?","How often do you engage in activities or practices that promote mental well-being (e.g., exercise, meditation, hobbies)?","Have you ever intentionally taken a break from using digital devices for a designated period (digital detox)?","If yes, how long was your longest digital detox?","What encouraged you to take a digital detox? ","How did you feel during your digital detox?","Did you set specific goals or rules for your digital detox? (e.g., no social media, no screens after a certain hour)","Would you consider making digital detox a regular practice in your life?","How did your digital detox experience impact your subsequent use of technology?","What is the biggest challenge that you faced during your digital detox, if any? ","How do you manage stress related to technology?","On a scale from 1 to 5, how effective do you find these strategies in managing stress related to technology? "," How often do you engage in physical activities (e.g., exercise, yoga) as a self-care practice to manage stress?","Are there any particular outdoor activities you find helpful in reducing stress related to technology? (e.g., walking, hiking, gardening)","What are your coping strategies for technology-related stress?"
"2023/10/14 11:31:02 AM GMT+6","I Agree","24","Female","Student","More than 6 hours","Smartphone","Always","Always","Yes","Multiple times a day","1-2 hours","Yes","Social media updates","Excitement","1","Almost all the time","Almost all the time","Fair","No changes","Almost all the time","Very low","Have lost interest","Almost all the time","Yes","Yes","Rarely","Yes","More than a week","Noticing negative effects on mental health","No significant change","Yes","Yes","Used technology more mindfully","FOMO (Fear of Missing Out)","Take short breaks from screens","3","Never","No","I prefer to cope alone"
"2023/10/14 11:41:55 AM GMT+6","I Agree","21","Female","Student","More than 6 hours","Smartphone","Always","Always","Yes","Multiple times a day","3-4 hours","Yes","Above all","Relaxation","4","Occasionally","Rarely","Poor","No changes","Occasionally","Moderate","Still enjoy activities","Frequently","No","Yes","Rarely","No","I have never practiced digital detox","I have never practiced digital detox","I have never practiced digital detox","No","No","I have never practiced digital detox","I have never practiced digital detox","Talk to friends or family about technology-related stress","4","Rarely","No","I seek support from friends or family"
"2023/10/14 11:46:41 AM GMT+6","I Agree","20","Female","Student","5-6 hours","Smartphone","Often","Often","Yes","Once a day","Less than 1 hour","Yes","News and information","Relaxation","2","Frequently","Rarely","Good","No changes","Rarely","Low","Still enjoy activities","Occasionally","Yes","No","Almost daily","Yes","More than a week","Improving productivity","No significant change","Yes","Yes","Used technology more mindfully","None, it was easy and enjoyable","Practice mindfulness or meditation","4","Occasionally","Yes","I prefer to cope alone"
"2023/10/14 11:52:58 AM GMT+6","I Agree","27","Female","Unemployed","3-4 hours","Smartphone","Always","Always","Yes","Multiple times a day","Less than 1 hour","Yes","Entertainment (videos, movies, music)","Joy","4","Occasionally","Never","Poor","Weight gain","Rarely","Very low","Still enjoy activities","Rarely","No","Yes","Frequently","Yes","1-3 days","Focusing on in-person relationships","No significant change","Yes","Yes","Used technology more mindfully","Boredom","Take short breaks from screens","4","Never","No","I attend social events or gatherings"
"2023/10/14 11:56:14 AM GMT+6","I Agree","22","Female","Student","More than 6 hours","Smartphone","Always","Always","Yes","Multiple times a day","Less than 1 hour","Yes","Entertainment (videos, movies, music)","Joy","4","Occasionally","Almost all the time","Excellent","No changes","Occasionally","Low","Have lost interest","Frequently","Yes","Yes","Rarely","Yes","4-7 days","Noticing negative effects on mental health","No significant change","No","Yes","No change","Social pressure to stay connected","Unplug from technology for a designated period","4","Rarely","Yes","I prefer to cope alone"
"2023/10/14 12:02:41 PM GMT+6","I Agree","24","Male","Student","3-4 hours","Smartphone","Often","Rarely","Yes","Several times a week","Less than 1 hour","Yes","Entertainment (videos, movies, music)","Relaxation","4","Occasionally","Occasionally","Good","No changes","Rarely","Moderate","Still enjoy activities","Occasionally","No","Yes","Occasionally","No","I have never practiced digital detox","I have never practiced digital detox","I have never practiced digital detox","No","No","I have never practiced digital detox","I have never practiced digital detox","Take short breaks from screens","3","Rarely","Yes","I prefer to cope alone"
"2023/10/14 12:03:19 PM GMT+6","I Agree","34","Female","Homemaker","3-4 hours","Smartphone","Always","Rarely","Yes","Multiple times a day","Less than 1 hour","Yes","Entertainment (videos, movies, music)","Relaxation","4","Not at all","Occasionally","Good","No changes","Rarely","High","Still enjoy activities","Rarely","No","Yes","Frequently","No","I have never practiced digital detox","I have never practiced digital detox","I have never practiced digital detox","No","Yes","I have never practiced digital detox","I have never practiced digital detox","Engage in outdoor activities","4","Occasionally","Yes","I attend social events or gatherings"
"2023/10/14 12:07:54 PM GMT+6","I Agree","22","Female","Student","1-2 hours","Computer/Laptop","Occasionally","Occasionally","Yes","Once a day","Less than 1 hour","Yes","Entertainment (videos, movies, music)","Relaxation","2","Almost all the time","Frequently","Fair","Increased appetite","Frequently","High","Still enjoy activities","Frequently","Yes","No","Frequently","Yes","Less than a day","Noticing negative effects on mental health","No significant change","Yes","Yes","Used technology more mindfully","Boredom","Take short breaks from screens","3","Occasionally","Yes","I prefer to cope alone"
"2023/10/14 12:08:59 PM GMT+6","I Agree","23","Female","Student","5-6 hours","Smartphone","Always","Always","Yes","Multiple times a day","1-2 hours","Yes","Social media updates","Excitement","4","Not at all","Frequently","Fair","Weight gain","Rarely","Low","Have lost interest","Occasionally","Yes","Yes","Frequently","Yes","1-3 days","Improving productivity","No significant change","Yes","Yes","Used technology more mindfully","Social pressure to stay connected","Practice mindfulness or meditation","3","Occasionally","No","I seek support from friends or family"
"2023/10/14 12:09:23 PM GMT+6","I Agree","22","Male","Student","3-4 hours","Smartphone","Always","Always","Yes","Multiple times a day","1-2 hours","Yes","Entertainment (videos, movies, music)","Joy","3","Not at all","Never","Good","No changes","Rarely","Moderate","Still enjoy activities","Rarely","Yes","Yes","Rarely","Yes","1-3 days","Feeling overwhelmed or stressed","Anxious or stressed","Yes","Yes","Used technology less","Boredom","Take short breaks from screens","3","Rarely","Yes","I prefer to cope alone"
"2023/10/14 12:09:23 PM GMT+6","I Agree","23","Male","Student","More than 6 hours","Smartphone","Always","Always","Yes","Multiple times a day","1-2 hours","Yes","Entertainment (videos, movies, music)","Relaxation","3","Occasionally","Rarely","Fair","No changes","Occasionally","Moderate","Have lost interest","Frequently","Yes","No","Rarely","Yes","1-3 days","Feeling overwhelmed or stressed","No significant change","No","No","Used technology more mindfully","Boredom","Take short breaks from screens","3","Rarely","Yes","I prefer to cope alone"
"2023/10/14 12:41:15 PM GMT+6","I Agree","23","Male","Student","3-4 hours","Smartphone","Always","Always","Yes","Multiple times a day","3-4 hours","Yes","Educational content","Joy","3","Occasionally","Occasionally","Good","Weight loss","Frequently","Moderate","Have lost interest","Occasionally","Yes","No","Frequently","Yes","4-7 days","Improving productivity","No significant change","Yes","No","I have never practiced digital detox","Boredom","Set specific time limits for technology use","2","Occasionally","No","I participate in online communities or forums"
"2023/10/14 12:41:21 PM GMT+6","I Agree","23","Female","Student","3-4 hours","Smartphone","Always","Always","Yes","Multiple times a day","Less than 1 hour","Yes","Entertainment (videos, movies, music)","Joy","3","Not at all","Rarely","Poor","No changes","Occasionally","Very low","Still enjoy activities","Occasionally","Yes","Yes","Rarely","Yes","Less than a day","Noticing negative effects on mental health","No significant change","Yes","Yes","Used technology less","FOMO (Fear of Missing Out)","Take short breaks from screens","1","Never","Yes","I seek support from friends or family"
"2023/10/14 1:11:48 PM GMT+6","I Agree","24","Male","Student","5-6 hours","Both phone and pc","Often","Rarely","Yes","Multiple times a day","1-2 hours","Yes","Entertainment (videos, movies, music)","Joy","3","Occasionally","Occasionally","Good","No changes","Occasionally","Very low","Have lost interest","Occasionally","No","No","Rarely","No","I have never practiced digital detox","I have never practiced digital detox","I have never practiced digital detox","No","No","I have never practiced digital detox","I have never practiced digital detox","Take short breaks from screens","2","Never","Yes","I participate in online communities or forums"
"2023/10/14 1:36:55 PM GMT+6","I Agree","35","Male","Employed (full-time)","More than 6 hours","Smartphone","Always","Always","No","Multiple times a day","Less than 1 hour","Yes","Entertainment (videos, movies, music)","Joy","3","Occasionally","Occasionally","Fair","Weight gain","Almost all the time","Moderate","Have lost interest","Frequently","Yes","Yes","Rarely","No","I have never practiced digital detox","I have never practiced digital detox","I have never practiced digital detox","Yes","Yes","I have never practiced digital detox","I have never practiced digital detox","Engage in outdoor activities","4","Never","Yes","I prefer to cope alone"
"2023/10/14 1:52:04 PM GMT+6","I Agree","32","Female","Employed (full-time)","More than 6 hours","Computer/Laptop","Always","Often","Yes","Multiple times a day","Less than 1 hour","Yes","Entertainment (videos, movies, music)","Relaxation","5","Occasionally","Occasionally","Good","No changes","Rarely","Moderate","Have lost interest","Occasionally","No","Yes","Occasionally","Yes","1-3 days","Improving productivity","Relaxed and refreshed","No","Yes","Used technology less","FOMO (Fear of Missing Out)","Take short breaks from screens","4","Occasionally","Yes","I prefer to cope alone"
"2023/10/14 1:52:27 PM GMT+6","I Agree","22","Female","Student","More than 6 hours","Smartphone","Always","Often","Yes","Once a day","Less than 1 hour","Yes","News and information","Joy","3","Frequently","Rarely","Fair","Weight gain","Frequently","Moderate","Have lost interest","Frequently","Yes","Yes","Frequently","Yes","1-3 days","Feeling overwhelmed or stressed","No significant change","Yes","No","Used technology less","Social pressure to stay connected","Take short breaks from screens","2","Occasionally","Yes","I prefer to cope alone"
"2023/10/14 2:01:01 PM GMT+6","I Agree","22","Male","Student","5-6 hours","Computer/Laptop","Occasionally","Occasionally","Yes","Several times a week","Less than 1 hour","Yes","News and information","Excitement","4","Occasionally","Rarely","Poor","No changes","Rarely","Moderate","Still enjoy activities","Rarely","No","Yes","Almost daily","Yes","More than a week","Curiosity or personal experiment","No significant change","Yes","No","No change","Social pressure to stay connected","Engage in outdoor activities","4","Always","Yes","I prefer to cope alone"
"2023/10/14 2:15:23 PM GMT+6","I Agree","20","Male","Student","More than 6 hours","Computer/Laptop","Often","Always","Yes","Several times a week","Less than 1 hour","Yes","News and information","Excitement","1","Almost all the time","Rarely","Very Poor","Increased appetite","Rarely","Low","Still enjoy activities","Rarely","Yes","No","Occasionally","No","I have never practiced digital detox","I have never practiced digital detox","I have never practiced digital detox","No","No","I have never practiced digital detox","I have never practiced digital detox","Take short breaks from screens","1","Never","Yes","I participate in online communities or forums"
"2023/10/14 2:16:14 PM GMT+6","I Agree","21","Male","Student","More than 6 hours","Computer/Laptop","Always","Always","Yes","Multiple times a day","Less than 1 hour","Yes","News and information","Joy","2","Almost all the time","Almost all the time","Very Poor","Weight gain","Rarely","Moderate","Have lost interest","Frequently","Yes","Yes","Rarely","No","I have never practiced digital detox","Improving productivity","No significant change","Yes","No","Used technology more mindfully","Boredom","Take short breaks from screens","2","Rarely","Yes","I participate in online communities or forums"
"2023/10/14 2:17:18 PM GMT+6","I Agree","21","Male","Student","3-4 hours","Smartphone","Occasionally","Always","Yes","Multiple times a day","Less than 1 hour","No","Entertainment (videos, movies, music)","Joy","4","Not at all","Rarely","Fair","Weight gain","Rarely","Moderate","Still enjoy activities","Rarely","Yes","Yes","Occasionally","Yes","1-3 days","Noticing negative effects on mental health","Relaxed and refreshed","Yes","Yes","Used technology more mindfully","Social pressure to stay connected","Take short breaks from screens","5","Frequently","No","I attend social events or gatherings"
"2023/10/14 2:17:18 PM GMT+6","I Agree","21","Male","Student","5-6 hours","Smartphone","Always","Always","Yes","Multiple times a day","1-2 hours","Yes","Entertainment (videos, movies, music)","Relaxation","2","Frequently","Frequently","Fair","Weight loss","Occasionally","Low","Have lost interest","Occasionally","No","No","Occasionally","No","I have never practiced digital detox","Improving productivity","I have never practiced digital detox","No","No","Used technology more mindfully","FOMO (Fear of Missing Out)","Take short breaks from screens","5","Frequently","No","I participate in online communities or forums"
"2023/10/14 2:17:32 PM GMT+6","I Agree","22","Male","Student","5-6 hours","Smartphone","Always","Always","Yes","Multiple times a day","1-2 hours","Yes","Entertainment (videos, movies, music)","Relaxation","4","Occasionally","Rarely","Poor","Weight gain","Occasionally","Moderate","Still enjoy activities","Occasionally","No","Yes","Frequently","No","Less than a day","Focusing on in-person relationships","No significant change","No","No","No change","Boredom","Engage in outdoor activities","2","Occasionally","Yes","I seek support from friends or family"
"2023/10/14 2:17:38 PM GMT+6","I Agree","22","Male","Student","5-6 hours","Smartphone","Always","Always","Yes","Multiple times a day","Less than 1 hour","Yes","News and information","Frustration","3","Frequently","Frequently","Very Poor","Weight gain","Occasionally","Moderate","Have lost interest","Rarely","Yes","No","Rarely","Yes","4-7 days","Curiosity or personal experiment","Relaxed and refreshed","Yes","Yes","Used technology more mindfully","Social pressure to stay connected","Unplug from technology for a designated period","3","Never","No","I prefer to cope alone"
"2023/10/14 2:17:54 PM GMT+6","I Agree","23","Male","Student","More than 6 hours","Smartphone","Always","Always","Yes","Multiple times a day","1-2 hours","Yes","Entertainment (videos, movies, music)","Joy","3","Occasionally","Rarely","Excellent","Weight gain","Frequently","Moderate","Still enjoy activities","Rarely","Yes","Yes","Frequently","No","Less than a day","I have never practiced digital detox","Anxious or stressed","No","No","I have never practiced digital detox","FOMO (Fear of Missing Out)","Take short breaks from screens","1","Rarely","No","I participate in online communities or forums"
"2023/10/14 2:18:29 PM GMT+6","I Agree","23","Male","Student","5-6 hours","Computer/Laptop","Rarely","Rarely","Yes","Several times a week","More than 6 hours","Yes","News and information","Sadness","1","Almost all the time","Occasionally","Good","Weight loss","Never","Moderate","Have lost interest","Occasionally","No","No","Occasionally","No","I have never practiced digital detox","I have never practiced digital detox","I have never practiced digital detox","No","No","I have never practiced digital detox","I have never practiced digital detox","My stress is usual caisedby my workload. So my solution is to lighten it as much as possible through managing time and allocating work. ","5","Frequently","No","I prefer to cope alone"
"2023/10/14 2:20:07 PM GMT+6","I Agree","21","Male","Student","More than 6 hours","Smartphone","Always","Always","Yes","Multiple times a day","1-2 hours","Yes","Entertainment (videos, movies, music)","Frustration","2","Almost all the time","Occasionally","Fair","Weight loss","Occasionally","Low","Have lost interest","Frequently","Yes","No","Frequently","Yes","Less than a day","Feeling overwhelmed or stressed","Anxious or stressed","Yes","Yes","Used technology more mindfully","FOMO (Fear of Missing Out)","Unplug from technology for a designated period","1","Rarely","Yes","I prefer to cope alone"
"2023/10/14 2:20:13 PM GMT+6","I Agree","27","Male","Student","More than 6 hours","Computer/Laptop","Often","Often","No","Multiple times a day","5-6 hours","Yes","Entertainment (videos, movies, music)","Joy","1","Almost all the time","Almost all the time","Fair","Weight gain","Rarely","Moderate","Have lost interest","Frequently","Yes","Yes","Rarely","No","I have never practiced digital detox","Curiosity or personal experiment","No significant change","Yes","No","No change","Boredom","Set specific time limits for technology use","3","Never","Yes","I prefer to cope alone"
"2023/10/14 2:20:38 PM GMT+6","I Agree","22","Male","Student","3-4 hours","Smartphone","Often","Always","Yes","Multiple times a day","1-2 hours","Yes","Entertainment (videos, movies, music)","Relaxation","3","Almost all the time","Rarely","Fair","Increased appetite","Rarely","Moderate","Still enjoy activities","Occasionally","Yes","No","Almost daily","Yes","1-3 days","Improving productivity","Relaxed and refreshed","Yes","Yes","Used technology more mindfully","Boredom","Engage in outdoor activities","4","Frequently","Yes","I prefer to cope alone"
"2023/10/14 2:21:31 PM GMT+6","I Agree","22","Female","Student","More than 6 hours","Computer/Laptop","Rarely","Always","Yes","Several times a week","1-2 hours","Yes","Entertainment (videos, movies, music)","Relaxation","2","Occasionally","Rarely","Fair","Increased appetite","Frequently","Low","Have lost interest","Occasionally","No","Yes","Almost daily","Yes","More than a week","Noticing negative effects on mental health","Relaxed and refreshed","Yes","Yes","Used technology less","Social pressure to stay connected","Practice mindfulness or meditation","4","Always","Yes","I seek support from friends or family"
"2023/10/14 2:26:16 PM GMT+6","I Agree","23","Male","Student","More than 6 hours","Smartphone","Always","Always","Yes","Rarely or never","1-2 hours","Yes","Educational content","Excitement","1","Almost all the time","Occasionally","Good","Weight gain","Rarely","High","Still enjoy activities","Almost all the time","Yes","Yes","Rarely","No","1-3 days","Feeling overwhelmed or stressed","Relaxed and refreshed","No","No","No change","I have never practiced digital detox","Take short breaks from screens","3","Rarely","Yes","I prefer to cope alone"
"2023/10/14 2:29:03 PM GMT+6","I Agree","23","Male","Student","5-6 hours","Smartphone","Occasionally","Always","Yes","Multiple times a day","Less than 1 hour","Yes","Entertainment (videos, movies, music)","Anxiety","4","Occasionally","Occasionally","Fair","No changes","Rarely","Moderate","Still enjoy activities","Occasionally","No","No","Frequently","Yes","More than a week","Improving productivity","I have never practiced digital detox","No","No","I have never practiced digital detox","I have never practiced digital detox","Set specific time limits for technology use","3","Occasionally","Yes","I participate in online communities or forums"
"2023/10/14 2:29:10 PM GMT+6","I Agree","21","Female","Student","More than 6 hours","Smartphone","Often","Always","Yes","Multiple times a day","3-4 hours","Yes","Social media updates","Excitement","2","Frequently","Frequently","Very Poor","Loss of appetite","Frequently","Low","Still enjoy activities","Frequently","Yes","No","Frequently","Yes","More than a week","Noticing negative effects on mental health","No significant change","Yes","Yes","Used technology more mindfully","Boredom","Engage in outdoor activities","3","Occasionally","Yes","I prefer to cope alone"
"2023/10/14 3:16:18 PM GMT+6","I Agree","23","Female","Employed (full-time)","3-4 hours","Smartphone","Always","Often","Yes","Multiple times a day","1-2 hours","Yes","Entertainment (videos, movies, music)","Relaxation","4","Frequently","Occasionally","Fair","No changes","Occasionally","Moderate","Have lost interest","Occasionally","No","Yes","Occasionally","Yes","Less than a day","Improving productivity","Relaxed and refreshed","Yes","Yes","Used technology more mindfully","Boredom","Practice mindfulness or meditation","3","Occasionally","Yes","I prefer to cope alone"
"2023/10/14 3:42:31 PM GMT+6","I Agree","24","Male","Student","More than 6 hours","Smartphone","Always","Always","Yes","Multiple times a day","Less than 1 hour","Yes","Entertainment (videos, movies, music)","Excitement","2","Occasionally","Occasionally","Poor","Weight loss","Occasionally","Low","Still enjoy activities","Occasionally","Yes","No","Occasionally","Yes","Less than a day","Feeling overwhelmed or stressed","Anxious or stressed","No","No","No change","Boredom","Take short breaks from screens","2","Occasionally","No","I prefer to cope alone"
"2023/10/14 3:44:30 PM GMT+6","I Agree","22","Male","Student","5-6 hours","Smartphone","Always","Always","Yes","Multiple times a day","1-2 hours","Yes","Entertainment (videos, movies, music)","Joy","4","Occasionally","Rarely","Good","Increased appetite","Rarely","Moderate","Still enjoy activities","Occasionally","No","Yes","Frequently","Yes","1-3 days","Feeling overwhelmed or stressed","Relaxed and refreshed","Yes","Yes","Used technology more mindfully","None, it was easy and enjoyable","Take short breaks from screens","5","Frequently","Yes","I participate in online communities or forums"
"2023/10/14 3:45:31 PM GMT+6","I Agree","22","Male","Student","5-6 hours","Computer/Laptop","Rarely","Rarely","Yes","Multiple times a day","Less than 1 hour","No","Entertainment (videos, movies, music)","Joy","5","Occasionally","Rarely","Good","Weight loss","Occasionally","Moderate","Have lost interest","Almost all the time","Yes","Yes","Almost daily","Yes","Less than a day","Curiosity or personal experiment","Relaxed and refreshed","Yes","Yes","Used technology less","Difficulty staying disconnected","Take short breaks from screens","2","Always","Yes","I seek support from friends or family"
"2023/10/14 3:45:56 PM GMT+6","I Agree","25","Male","Student","More than 6 hours","Computer/Laptop","Rarely","Always","Yes","Several times a week","Less than 1 hour","No","Coding ","Joy","3","Frequently","Rarely","Poor","Weight loss","Occasionally","Moderate","Have lost interest","Frequently","Yes","Yes","Frequently","Yes","1-3 days","Feeling overwhelmed or stressed","I have never practiced digital detox","Yes","Yes","No change","Difficulty staying disconnected","Unplug from technology for a designated period","3","Occasionally","Yes","I participate in online communities or forums"
"2023/10/14 3:46:18 PM GMT+6","I Agree","21","Male","Student","5-6 hours","Smartphone","Often","Often","Yes","Multiple times a day","Less than 1 hour","Yes","Social media updates","Joy","3","Frequently","Occasionally","Fair","Weight gain","Occasionally","Moderate","Still enjoy activities","Frequently","Yes","Yes","Occasionally","Yes","1-3 days","Improving productivity","Relaxed and refreshed","Yes","Yes","Used technology more mindfully","Social pressure to stay connected","Engage in outdoor activities","4","Frequently","Yes","I participate in online communities or forums"
"2023/10/14 3:46:46 PM GMT+6","I Agree","21","Male","Student","3-4 hours","Smartphone","Always","Always","Yes","Multiple times a day","Less than 1 hour","Yes","Entertainment (videos, movies, music)","Relaxation","5","Occasionally","Occasionally","Good","Weight gain","Rarely","Low","Still enjoy activities","Rarely","No","Yes","Rarely","No","I have never practiced digital detox","I have never practiced digital detox","I have never practiced digital detox","No","No","I have never practiced digital detox","I have never practiced digital detox","Take short breaks from screens","4","Rarely","Yes","I seek support from friends or family"
"2023/10/14 3:47:41 PM GMT+6","I Agree","22","Male","Student","More than 6 hours","Computer/Laptop","Often","Occasionally","Yes","Multiple times a day","Less than 1 hour","Yes","Educational content","Frustration","1","Frequently","Rarely","Very Poor","Weight gain","Rarely","Moderate","Have lost interest","Occasionally","Yes","No","Rarely","Yes","4-7 days","Improving productivity","No significant change","Yes","Yes","No change","FOMO (Fear of Missing Out)","Practice mindfulness or meditation","3","Occasionally","Yes","Physical activities "
"2023/10/14 3:53:09 PM GMT+6","I Agree","23","Female","Student","3-4 hours","Smartphone","Occasionally","Often","Yes","Multiple times a day","1-2 hours","Yes","Entertainment (videos, movies, music)","Relaxation","4","Occasionally","Frequently","Good","Loss of appetite","Occasionally","Moderate","Still enjoy activities","Occasionally","No","Yes","Rarely","No","I have never practiced digital detox","I have never practiced digital detox","I have never practiced digital detox","No","No","I have never practiced digital detox","I have never practiced digital detox","Take short breaks from screens","4","Occasionally","No","I prefer to cope alone"
"2023/10/14 3:58:04 PM GMT+6","I Agree","24","Male","Employed (part-time)","5-6 hours","Smartphone","Always","Always","Yes","Multiple times a day","1-2 hours","Yes","All","Relaxation","4","Occasionally","Rarely","Fair","No changes","Occasionally","Moderate","Still enjoy activities","Occasionally","No","Yes","Occasionally","Yes","Less than a day","Feeling overwhelmed or stressed","Relaxed and refreshed","No","Yes","No change","Social pressure to stay connected","Engage in outdoor activities","4","Occasionally","Yes","I prefer to cope alone"
"2023/10/14 4:10:58 PM GMT+6","I Agree","22","Male","Student","More than 6 hours","Smartphone","Often","Often","Yes","Multiple times a day","1-2 hours","Yes","Educational content","Relaxation","4","Occasionally","Occasionally","Poor","Weight loss","Rarely","Moderate","Have lost interest","Occasionally","No","Yes","Occasionally","No","I have never practiced digital detox","I have never practiced digital detox","I have never practiced digital detox","No","Yes","I have never practiced digital detox","I have never practiced digital detox","Engage in outdoor activities","5","Frequently","Yes","I seek support from friends or family"
"2023/10/14 4:33:43 PM GMT+6","I Agree","23","Male","Student","5-6 hours","Computer/Laptop","Occasionally","Rarely","Yes","Multiple times a day","Less than 1 hour","Yes","Social media updates","Joy","2","Almost all the time","Rarely","Poor","No changes","Frequently","Moderate","Have lost interest","Frequently","Yes","Yes","Occasionally","No","Less than a day","I have never practiced digital detox","I have never practiced digital detox","No","No","I have never practiced digital detox","I have never practiced digital detox","Unplug from technology for a designated period","5","Occasionally","Yes","I prefer to cope alone"
"2023/10/14 4:45:49 PM GMT+6","I Agree","24","Female","Student","5-6 hours","Smartphone","Always","Often","Yes","Multiple times a day","Less than 1 hour","Yes","Entertainment (videos, movies, music)","Joy","3","Frequently","Almost all the time","Excellent","Weight loss","Rarely","Moderate","Have lost interest","Occasionally","No","Yes","Occasionally","No","I have never practiced digital detox","I have never practiced digital detox","I have never practiced digital detox","No","No","Used technology more mindfully","FOMO (Fear of Missing Out)","Unplug from technology for a designated period","3","Rarely","Yes","I participate in online communities or forums"
"2023/10/14 5:04:27 PM GMT+6","I Agree","23","Male","Student","3-4 hours","Smartphone","Often","Often","No","Multiple times a day","1-2 hours","Yes","Entertainment (videos, movies, music)","Excitement","4","Frequently","Occasionally","Fair","Weight loss","Occasionally","High","Have lost interest","Almost all the time","No","No","Almost daily","No","Less than a day","Improving productivity","No significant change","Yes","Yes","Used technology less","FOMO (Fear of Missing Out)","Take short breaks from screens","1","Occasionally","No","I attend social events or gatherings"
"2023/10/14 5:04:28 PM GMT+6","I Agree","24","Male","Student","1-2 hours","Computer/Laptop","Always","Always","Yes","Once a day","Less than 1 hour","Yes","Entertainment (videos, movies, music)","Joy","3","Occasionally","Rarely","Good","Weight gain","Rarely","Very High","Have lost interest","Almost all the time","Yes","Yes","Rarely","Yes","Less than a day","Noticing negative effects on mental health","Relaxed and refreshed","Yes","No","No change","FOMO (Fear of Missing Out)","Take short breaks from screens","2","Rarely","Yes","I prefer to cope alone"
"2023/10/14 5:04:48 PM GMT+6","I Agree","23","Male","Student","5-6 hours","Smartphone","Always","Always","Yes","Multiple times a day","Less than 1 hour","Yes","Social media updates","Relaxation","4","Not at all","Never","Excellent","No changes","Never","Very low","Still enjoy activities","Rarely","Yes","Yes","Rarely","Yes","1-3 days","Noticing negative effects on mental health","No significant change","Yes","Yes","Used technology less","FOMO (Fear of Missing Out)","Take short breaks from screens","3","Occasionally","Yes","I seek support from friends or family"
"2023/10/14 5:11:24 PM GMT+6","I Agree","23","Male","Student","5-6 hours","Smartphone","Often","Always","Yes","Multiple times a day","Less than 1 hour","Yes","Entertainment (videos, movies, music)","Relaxation","2","Frequently","Frequently","Fair","No changes","Occasionally","Low","Have lost interest","Occasionally","No","No","Occasionally","Yes","More than a week","Improving productivity","Relaxed and refreshed","No","Yes","Used technology less","Boredom","Practice mindfulness or meditation","2","Rarely","Yes","I participate in online communities or forums"
"2023/10/14 5:11:49 PM GMT+6","I Agree","23","Male","Student","5-6 hours","Smartphone","Always","Always","Yes","Multiple times a day","3-4 hours","Yes","Entertainment (videos, movies, music)","Relaxation","2","Frequently","Frequently","Poor","No changes","Never","Moderate","Have lost interest","Frequently","No","Yes","Frequently","No","I have never practiced digital detox","I have never practiced digital detox","I have never practiced digital detox","No","No","I have never practiced digital detox","I have never practiced digital detox","Take short breaks from screens","3","Frequently","Yes","I prefer to cope alone"
"2023/10/14 5:12:32 PM GMT+6","I Agree","21","Male","Student","5-6 hours","Computer/Laptop","Always","Always","Yes","Multiple times a day","Less than 1 hour","Yes","Entertainment (videos, movies, music)","Relaxation","1","Almost all the time","Frequently","Very Poor","Increased appetite","Rarely","Moderate","Have lost interest","Almost all the time","No","Yes","Rarely","No","Less than a day","Improving productivity","Anxious or stressed","No","No","No change","Boredom","Take short breaks from screens","1","Rarely","Yes","I seek support from friends or family"
